Time, Global Time,Voltage
µsec, lmao,V
586181933,0/0/0_0:0:0.0,125
587201923,0/0/0_0:0:0.0,123
588211936,0/0/0_0:0:0.0,123
589231932,0/0/0_0:0:0.0,124
590241927,0/0/0_0:0:0.0,123
591251924,0/0/0_0:0:0.0,124
592261939,0/0/0_0:0:0.0,124
593281918,0/0/0_0:0:0.0,124
594301932,0/0/0_0:0:0.0,124
595311925,0/0/0_0:0:0.0,124
596331927,0/0/0_0:0:0.0,125
597341932,0/0/0_0:0:0.0,124
598361925,0/0/0_0:0:0.0,124
599371919,0/0/0_0:0:0.0,124
600391932,0/0/0_0:0:0.0,124
601401930,0/0/0_0:0:0.0,125
602411925,0/0/0_0:0:0.0,124
603431932,0/0/0_0:0:0.0,124
604441932,0/0/0_0:0:0.0,124
605461932,0/0/0_0:0:0.0,124
606481936,0/0/0_0:0:0.0,124
607491925,0/0/0_0:0:0.0,123
608501925,0/0/0_0:0:0.0,124
609511925,0/0/0_0:0:0.0,124
610531934,0/0/0_0:0:0.0,124
611541924,0/0/0_0:0:0.0,123
612551928,0/0/0_0:0:0.0,124
613561934,0/0/0_0:0:0.0,124
614581932,0/0/0_0:0:0.0,124
615601934,0/0/0_0:0:0.0,125
616611928,0/0/0_0:0:0.0,125
617621917,0/0/0_0:0:0.0,124
618631927,0/0/0_0:0:0.0,125
619641929,0/0/0_0:0:0.0,125
620661932,0/0/0_0:0:0.0,125
621671936,0/0/0_0:0:0.0,125
622951932,0/0/0_0:0:0.0,125
623971936,0/0/0_0:0:0.0,119
624981922,0/0/0_0:0:0.0,126
626001934,0/0/0_0:0:0.0,125
627011931,0/0/0_0:0:0.0,125
628021925,0/0/0_0:0:0.0,119
629031932,0/0/0_0:0:0.0,125
630038022,0/0/0_0:0:0.0,125
631051934,0/0/0_0:0:0.0,125
632061932,0/0/0_0:0:0.0,125
633081932,0/0/0_0:0:0.0,125
634091932,0/0/0_0:0:0.0,125
635101925,0/0/0_0:0:0.0,125
636121934,0/0/0_0:0:0.0,125
637127528,0/0/0_0:0:0.0,126
638141934,0/0/0_0:0:0.0,125
639151934,0/0/0_0:0:0.0,126
640171925,0/0/0_0:0:0.0,125
641191935,0/0/0_0:0:0.0,125
642201932,0/0/0_0:0:0.0,125
643221936,0/0/0_0:0:0.0,125
644241934,0/0/0_0:0:0.0,125
645251925,0/0/0_0:0:0.0,125
646261933,0/0/0_0:0:0.0,125
647281925,0/0/0_0:0:0.0,125
648301934,0/0/0_0:0:0.0,125
649321934,0/0/0_0:0:0.0,125
650331932,0/0/0_0:0:0.0,125
651341932,0/0/0_0:0:0.0,123
652351927,0/0/0_0:0:0.0,125
653371934,0/0/0_0:0:0.0,125
